household_id,record_id,record_type,category,subcategory,amount,currency,transaction_date,description,payment_method,payer_payee,is_recurring,recurrence_interval,household_size,location_city,location_state,location_postal_code,location_country
HH249,REC249,income,freelance,photography,800,USD,2024-03-17,Photography event project,bank_transfer,WeddingPix,false,,1,Dallas,TX,75202,USA
HH250,REC250,income,side_job,ride_sharing,260,USD,2024-03-20,Rideshare earnings March,mobile_payment,Uber,false,,1,San Diego,CA,92104,USA
HH101,REC301,income,salary,,3850,USD,2023-08-31,Salary for August,bank_transfer,Crimson Solutions LLC,true,monthly,1,Portland,OR,97209,USA
HH102,REC302,expense,groceries,produce,127.45,USD,2023-09-01,Weekly produce groceries,debit_card,GreenLeaf Market,false,,2,Cleveland,OH,44115,USA
HH103,REC303,income,rental_income,,1450,USD,2023-09-01,Rental income for September,bank_transfer,Chloe Ramirez,true,monthly,2,Greenville,SC,29601,USA
HH104,REC304,expense,utilities,water,42.75,USD,2023-09-11,Water bill for September,bank_transfer,City Water Dept,true,monthly,3,Philadelphia,PA,19103,USA
HH105,REC305,expense,rent,,2250,USD,2023-09-01,Monthly rent payment,bank_transfer,Brinkley Properties,true,monthly,2,Charlotte,NC,28202,USA
HH106,REC306,income,side_job,,300,EUR,2023-09-07,Graphic design freelance,bank_transfer,Blue Motion Design,false,,1,Cologne,NW,50667,DEU
HH107,REC307,expense,entertainment,concert,70,USD,2023-08-19,Concert tickets,credit_card,Live Nation,false,,3,Minneapolis,MN,55401,USA
HH108,REC308,expense,healthcare,doctor_visit,95,GBP,2023-09-05,Routine doctor checkup,debit_card,Manchester Clinic,false,,2,Manchester,ENG,M16 8HQ,GBR
HH109,REC309,income,investment,,420,USD,2023-09-10,Quarterly dividend,bank_transfer,Vanguard Funds,true,quarterly,1,Denver,CO,80203,USA
HH110,REC310,expense,transportation,fuel,56.17,USD,2023-09-10,Fuel for car,credit_card,Shell Gasoline,false,,3,Indianapolis,IN,46204,USA
HH111,REC311,expense,utilities,electricity,67.8,USD,2023-08-20,August electricity bill,bank_transfer,Duke Energy,true,monthly,4,Cincinnati,OH,45202,USA
HH112,REC312,expense,childcare,,350,USD,2023-09-01,Monthly daycare payment,check,Little Stars Daycare,true,monthly,2,Orlando,FL,32801,USA
HH113,REC313,income,freelance,,575,EUR,2023-08-22,Translation project payment,bank_transfer,LangPro GmbH,false,,2,Frankfurt,HE,60313,DEU
HH114,REC314,expense,insurance,car_insurance,110,USD,2023-09-01,Car insurance monthly,bank_transfer,Progressive Insurance,true,monthly,1,Albuquerque,NM,87102,USA
HH115,REC315,income,gift,,200,USD,2023-09-04,Birthday gift from mother,cash,Martha Benson,false,,1,Raleigh,NC,27601,USA
HH116,REC316,expense,education,books,78.6,GBP,2023-09-04,Textbooks for fall semester,credit_card,Uni Bookstore,false,,2,London,ENG,WC1E 6BT,GBR
HH117,REC317,expense,miscellaneous,,23.49,USD,2023-08-30,Pet supplies and toys,debit_card,PetSmart,false,,1,Boise,ID,83702,USA
HH118,REC318,expense,groceries,dairy,54.3,USD,2023-08-25,Weekly dairy groceries,credit_card,Kroger,false,,3,Louisville,KY,40202,USA
HH119,REC319,expense,utilities,gas,38.8,USD,2023-08-21,Monthly gas bill,bank_transfer,Atmos Energy,true,monthly,2,Tulsa,OK,74103,USA
HH120,REC320,income,investment,,210,CAD,2023-08-17,Dividend earnings,bank_transfer,CIBC Investments,false,,1,Toronto,ON,M5B 2H1,CAN
HH121,REC321,expense,rent,,1390,EUR,2023-09-01,Apartment rent payment,bank_transfer,Hausverwaltung Klein,true,monthly,2,Berlin,BE,10115,DEU
HH122,REC322,expense,insurance,health_insurance,180,EUR,2023-09-01,Health insurance premium,bank_transfer,Allianz SE,true,monthly,3,Munich,BY,80331,DEU
HH123,REC323,income,freelance,,750,INR,2023-08-23,Freelance website project,bank_transfer,Agarwal Solutions,false,,1,Kolkata,WB,700017,IND
HH124,REC324,expense,healthcare,prescription,24.95,USD,2023-09-06,Prescription refill,cash,Walgreens,false,,1,San Jose,CA,95112,USA
HH125,REC325,expense,transportation,public_transit,31,USD,2023-08-29,Monthly bus pass,mobile_payment,Metro Transit,false,,2,Columbus,OH,43215,USA
HH126,REC326,expense,education,tuition,1500,USD,2023-08-28,Fall semester tuition,bank_transfer,State University,false,,4,Tallahassee,FL,32301,USA
HH127,REC327,income,lottery,,2500000,USD,2023-07-22,Lotto jackpot win,check,MegaMillions,false,,1,Las Vegas,NV,89109,USA
HH128,REC328,expense,miscellaneous,,44.15,USD,2023-08-26,Household cleaning supplies,debit_card,Target,false,,2,Omaha,NE,68102,USA
HH129,REC329,income,side_job,,650,AUD,2023-08-18,Weekend catering gig,bank_transfer,Sydney Eats,false,,3,Sydney,NSW,2000,AUS
HH130,REC330,expense,entertainment,movies,32.5,USD,2023-08-27,Family movie night,credit_card,AMC Theatres,false,,4,San Diego,CA,92101,USA
HH131,REC331,expense,groceries,meat,92.7,USD,2023-08-28,Weekly meat groceries,debit_card,Whole Foods,false,,2,Salt Lake City,UT,84101,USA
HH132,REC332,income,salary,,4700,USD,2023-09-01,September salary payment,bank_transfer,BrightPath Corp,true,monthly,2,Buffalo,NY,14203,USA
HH133,REC333,expense,insurance,home_insurance,52,USD,2023-08-18,Home insurance monthly,bank_transfer,State Farm,true,monthly,3,Phoenix,AZ,85004,USA
HH134,REC334,expense,childcare,,410,USD,2023-08-30,Daycare payment August,check,Tiny Tots Care,true,monthly,4,Austin,TX,78701,USA
HH135,REC335,expense,groceries,bakery,33.75,EUR,2023-08-19,Bakery and bread items,cash,Backshop Wagner,false,,1,Hamburg,HH,20095,DEU
HH136,REC336,income,gift,,100,JPY,2023-09-03,Wedding gift from uncle,other,Takashi Sato,false,,2,Osaka,OSK,530-0001,JPN
HH137,REC337,expense,education,online_course,199.99,USD,2023-08-24,Online course enrollment,credit_card,Coursera,false,,1,Pittsburgh,PA,15222,USA
HH138,REC338,income,rental_income,,1100,USD,2023-08-31,Rental for August,bank_transfer,Kelsey Young,true,monthly,2,Sacramento,CA,95814,USA
HH139,REC339,expense,healthcare,dental,230,USD,2023-08-15,Dental cleaning,credit_card,Bright Smiles Dental,false,,2,Baltimore,MD,21201,USA
HH140,REC340,income,salary,,5350,USD,2023-09-01,September salary received,bank_transfer,Sunrise Tech Inc.,true,monthly,3,Seattle,WA,98101,USA
HH141,REC341,expense,transportation,rideshare,18.35,USD,2023-08-23,Uber ride downtown,mobile_payment,Uber,false,,1,Denver,CO,80202,USA
HH142,REC342,expense,utilities,internet,66,USD,2023-08-22,Internet bill August,bank_transfer,Comcast,true,monthly,1,Richmond,VA,23219,USA
HH143,REC343,income,investment,,895,USD,2023-09-09,Quarterly investment return,bank_transfer,Fidelity Investments,true,quarterly,1,San Francisco,CA,94111,USA
HH144,REC344,income,rental_income,,2050,USD,2023-09-01,Monthly rental income,bank_transfer,Julia Price,true,monthly,1,Houston,TX,77002,USA
HH145,REC345,expense,entertainment,sports,125,USD,2023-08-15,Basketball game tickets,credit_card,Ticketmaster,false,,3,Chicago,IL,60606,USA
HH146,REC346,expense,miscellaneous,,12.8,USD,2023-08-21,Laundry detergent purchase,debit_card,Walmart,false,,1,Grand Rapids,MI,49503,USA
HH147,REC347,income,side_job,,480,USD,2023-08-23,Photography side project,bank_transfer,Carter Realty,false,,2,San Antonio,TX,78205,USA
HH148,REC348,expense,healthcare,vision,72,USD,2023-08-18,Eye exam and glasses,credit_card,Visionworks,false,,1,Reno,NV,89501,USA
HH149,REC349,expense,rent,,950,JPY,2023-08-01,August apartment rent,bank_transfer,Osaka Rentals,true,monthly,1,Osaka,OSK,530-0022,JPN
HH150,REC350,income,freelance,,1050,USD,2023-09-02,App development project,bank_transfer,BlueSky Ventures,false,,3,Dallas,TX,75201,USA
HH151,REC301,income,salary,,3150,USD,2024-03-31,March salary payment,bank_transfer,TechNova Solutions,true,monthly,1,San Diego,CA,92110,USA
HH152,REC302,expense,groceries,vegetables,89.5,USD,2024-04-10,Grocery shopping at Target,debit_card,Target Superstore,false,,3,Birmingham,AL,35203,USA
HH153,REC303,expense,utilities,electricity,120.3,USD,2024-03-05,March electricity bill,bank_transfer,Alabama Power,true,monthly,2,Huntsville,AL,35801,USA
HH154,REC304,income,investment,dividends,540.8,GBP,2024-02-15,Quarterly dividend payout,bank_transfer,Barclays Investments,true,quarterly,2,Leeds,ENG,LS1 3AD,GBR
HH155,REC305,expense,rent,,1750,USD,2024-03-01,Monthly rent payment,bank_transfer,Bayside Realty,true,monthly,2,Tampa,FL,33602,USA
HH156,REC306,income,freelance,graphic_design,950,EUR,2024-03-20,Freelance design project,bank_transfer,WebArt Studio,false,,1,Milan,MI,20124,ITA
HH157,REC307,expense,entertainment,movies,36.9,USD,2024-03-09,Cinema night tickets,credit_card,AMC Theatres,false,,3,Atlanta,GA,30303,USA
HH158,REC308,income,side_job,,340.75,USD,2024-01-28,Weekend tutoring income,cash,Private Client,false,,2,Denver,CO,80203,USA
HH159,REC309,expense,transportation,commute,92,USD,2024-04-05,Monthly bus pass purchase,mobile_payment,RTD Denver,true,monthly,1,Denver,CO,80205,USA
HH160,REC310,expense,utilities,water,45.6,USD,2024-04-02,Water bill April,bank_transfer,Denver Water,true,monthly,4,Denver,CO,80207,USA
HH161,REC311,income,rental_income,apartment,1200,EUR,2024-02-01,February apartment rent received,bank_transfer,Tenant MÃ¼ller,true,monthly,2,Cologne,NW,50667,DEU
HH162,REC312,expense,childcare,daycare,560,USD,2024-03-03,March daycare tuition,check,Little Steps Daycare,true,monthly,4,Portland,OR,97205,USA
HH163,REC313,income,gift,,250,USD,2024-02-15,Birthday cash gift,cash,Aunt Linda,false,,1,Houston,TX,77002,USA
HH164,REC314,expense,healthcare,prescriptions,74.19,GBP,2024-03-11,March pharmacy expense,credit_card,Boots UK,false,,2,Bristol,ENG,BS1 5UH,GBR
HH165,REC315,expense,insurance,health,410,USD,2024-03-06,March health insurance premium,bank_transfer,BlueCross,true,monthly,3,Chicago,IL,60606,USA
HH166,REC316,expense,education,textbooks,120,EUR,2024-02-21,Semester books purchase,credit_card,Librairie Parisienne,false,,2,Paris,IDF,75005,FRA
HH167,REC317,expense,groceries,dairy,64.13,USD,2024-03-22,Weekly groceries at Safeway,debit_card,Safeway Market,false,,3,San Jose,CA,95112,USA
HH168,REC318,expense,miscellaneous,pet_supplies,44.99,USD,2024-03-17,Pet food and toys,credit_card,PetSmart,false,,1,Miami,FL,33130,USA
HH169,REC319,income,lottery,,2500000,USD,2024-02-28,Lottery jackpot win,check,California Lottery,false,,1,Sacramento,CA,95814,USA
HH170,REC320,expense,transportation,fuel,68.4,CAD,2024-04-03,Gas station fill up,debit_card,Shell Canada,false,,4,Vancouver,BC,V5K 0A1,CAN
HH171,REC321,income,investment,bonds,330.1,USD,2024-03-19,Bond interest received,bank_transfer,Fidelity,false,,2,Phoenix,AZ,85004,USA
HH172,REC322,expense,rent,,1450,USD,2024-02-01,February rent payment,bank_transfer,Desert Rentals,true,monthly,2,Mesa,AZ,85201,USA
HH173,REC323,expense,utilities,gas,67.42,USD,2024-03-07,Gas bill March,bank_transfer,Southwest Gas,true,monthly,3,Albuquerque,NM,87102,USA
HH174,REC324,income,salary,,3845,EUR,2024-03-29,End of March salary,bank_transfer,Siemens AG,true,monthly,1,Munich,BY,80331,DEU
HH175,REC325,expense,insurance,auto,185,USD,2024-02-14,February car insurance,bank_transfer,GEICO,true,monthly,1,Newark,NJ,07102,USA
HH176,REC326,expense,education,language_course,390,JPY,2024-04-06,Japanese language class fee,other,Nihongo School,false,,2,Osaka,OSK,532-0011,JPN
HH177,REC327,expense,groceries,meat,76.8,AUD,2024-03-28,Grocery shopping Woolworths,debit_card,Woolworths,false,,2,Perth,WA,6000,AUS
HH178,REC328,income,salary,,2920,USD,2024-04-01,April salary direct deposit,bank_transfer,FinTech Partners,true,monthly,3,Dallas,TX,75201,USA
HH179,REC329,expense,entertainment,concert,210,EUR,2024-03-13,Live concert tickets,credit_card,Ticketmaster,false,,1,Barcelona,CAT,08002,ESP
HH180,REC330,income,freelance,writing,630,INR,2024-03-25,Freelance article payment,other,India Times,false,,1,Kolkata,WB,700001,IND
HH181,REC331,expense,miscellaneous,stationery,27.8,USD,2024-03-26,Office supplies purchase,credit_card,Staples,false,,2,Seattle,WA,98101,USA
HH182,REC332,income,rental_income,condo,1750,USD,2024-03-05,Monthly condo rent received,bank_transfer,Tenant Brown,true,monthly,3,Orlando,FL,32801,USA
HH183,REC333,expense,childcare,babysitting,70,USD,2024-02-23,Babysitting for date night,cash,Mary Smith,false,,3,St. Louis,MO,63101,USA
HH184,REC334,income,side_job,,485,USD,2024-03-02,Weekend catering gig,cash,Private Client,false,,2,Phoenix,AZ,85016,USA
HH185,REC335,expense,healthcare,doctor_visit,150,USD,2024-03-08,Annual physical exam,check,Dr. Kim Clinic,false,,1,Boston,MA,02108,USA
HH186,REC336,expense,transportation,rideshare,35.2,USD,2024-03-21,Uber rides in March,mobile_payment,Uber,false,,1,Austin,TX,78701,USA
HH187,REC337,income,investment,mutual_funds,215,AUD,2024-03-16,Mutual fund dividend,bank_transfer,Vanguard Australia,false,,1,Sydney,NSW,2000,AUS
HH188,REC338,expense,utilities,internet,62.9,USD,2024-03-12,Monthly internet bill,bank_transfer,Comcast,true,monthly,2,Philadelphia,PA,19103,USA
HH189,REC339,income,gift,,1200,USD,2024-02-10,Wedding gift from family,check,Family Members,false,,6,Indianapolis,IN,46204,USA
HH190,REC340,income,rental_income,house,2250,USD,2024-03-01,March house rent received,bank_transfer,Tenant Evans,true,monthly,4,Las Vegas,NV,89101,USA
HH191,REC341,expense,education,school_fees,410,USD,2024-03-15,Quarterly school fees,bank_transfer,Greenwood School,true,quarterly,3,Raleigh,NC,27601,USA
HH192,REC342,expense,miscellaneous,charity,100,USD,2024-03-10,March charity donation,bank_transfer,United Way,false,,1,San Francisco,CA,94105,USA
HH193,REC343,expense,rent,,2050,USD,2024-03-01,March rent paid,bank_transfer,Citywide Realty,true,monthly,2,Baltimore,MD,21201,USA
HH194,REC344,income,salary,,3820,USD,2024-03-29,Salary for March,bank_transfer,Retail Group,true,monthly,1,Charlotte,NC,28202,USA
HH195,REC345,expense,insurance,home,120,USD,2024-03-12,Home insurance March,bank_transfer,Liberty Mutual,true,monthly,2,Nashville,TN,37219,USA
HH196,REC346,expense,healthcare,specialist_visit,210,USD,2024-03-05,Eye doctor appointment,check,Vision Clinic,false,,3,Minneapolis,MN,55401,USA
HH197,REC347,income,side_job,,520,USD,2024-03-23,Teaching music lessons,cash,Local Students,false,,1,Fresno,CA,93721,USA
HH198,REC348,expense,groceries,fruits,38.6,USD,2024-03-18,Fruit shopping at Kroger,debit_card,Kroger Market,false,,1,Cincinnati,OH,45202,USA
HH199,REC349,income,freelance,translation,1080,EUR,2024-04-08,Translation project payment,bank_transfer,Espana Translations,false,,2,Madrid,MD,28001,ESP
HH200,REC350,expense,education,course_fees,980,USD,2024-03-29,Online course enrollment,credit_card,Coursera,false,,12,Detroit,MI,48226,USA